Something Better w/ Sticky Nicky Shoes 	Vinyl Dreams (San Francisco)	Thu: Dec 19 (5pm-8pm)	house	Free | All ages	Niklas Aka 'Sticky' Nicky Shoes	https://www.facebook.com/events/2190373887660164/
Prelude Thursdays - Happy Hour Funk 	Caffe Machiavello (Palo Alto)	Thu: Dec 19 (5pm-9pm)	hip-hop, funk, house, disco			https://www.facebook.com/events/545693802870745/
Icarus Presents Sub_Orbital 	Monarch (San Francisco)	Thu: Dec 19 (5:30pm-2am)	deep house, tech house	Free | 21+		https://www.facebook.com/events/433513394210561/
Close Encounters: Mike Cashen 	Phonobar (San Francisco)	Thu: Dec 19 (6pm-12am)	tech house, deep house, disco	Free | 21+		http://www.residentadvisor.net/events/1360005
O Holy Playa: The Holiday Party 	The Great Northern (San Francisco)	Thu: Dec 19 (8pm-2am)	house, funky house, nu-disco	$15-25 | 21+	IDEATE	https://www.eventbrite.com/e/o-holy-playa-the-holiday-party-tickets-81834317647
Another Ugly Sweater Party 	Midtown Barfly (Sacramento)	Thu: Dec 19 (8:30pm-1:45am)	dubstep, glitch-hop, bass music	$5 b4 10/$10 | 21+	Stilldream	https://www.facebook.com/events/272846120325366/
First Cousins 	The New Parish (Oakland)	Thu: Dec 19 (9pm)	hip-hop	$28 pre | 18+	Sean Healy	https://www.ticketweb.com/event/first-cousins-the-new-parish-tickets/10163725?REFERRAL_ID=twfb
1 Yr Of Loose Conditions Ft. Englesia, Erica Mar, Comua b2b wwwood, Deejay Dreamcast, Gadder b2b marr0w 	The Stud (San Francisco)	Thu: Dec 19 (9pm-2am)	club music, experimental, techno, garage	$5 b4 10/$10 | 21+		https://www.facebook.com/events/534837287109217/
Booty Patrol w/ Supervixen 	F8 1192 Folsom (San Francisco)	Thu: Dec 19 (9pm-2am)	house, techno	Free b4 10, $10 after | 21+		https://www.facebook.com/events/427836164811260/
Fancy Thursdays 	Hawthorn (San Francisco)	Thu: Dec 19 (9pm-2am)	hip-hop, top 40, EDM	Free w/RSVP b4 10:30pm / $5 off after | 21+		https://www.eventbrite.com/e/hawthorn-fancy-thursdays-tickets-85563250987
Only Human: Alex DJ, Pteron, YobKiss, Mechanika 	Underground (San Francisco)	Thu: Dec 19 (9pm-2am)	techno	$5  | 21+		http://www.residentadvisor.net/events/1357950
Sequence: Kai Wachi 	DNA Lounge (San Francisco)	Thu: Dec 19 (9pm-2am)	trap	$5-20 | 18+	Vital Events, Llc	https://www.eventbrite.com/e/sequence-1219-kai-wachi-tickets-72290634233
Supertask, A Hundred Drums & Sbass Jamz 	Haven Underground (Nevada City)	Thu: Dec 19 (9pm-2am)	bass music, dubstep	$10 pre | 21+	Euphonic Conceptions & The Legion Of Bloom	https://www.ticketfairy.com/event/supertask-a-hundred-drums-and-more-19dec2019/
Supernature: Mustache Disko // Toy & Food Drive - DJ M3 & Guests 	Monarch (San Francisco)	Thu: Dec 19 (9:30pm-2am)	disco, house	$5 pre/$10 | 21+		http://www.residentadvisor.net/events/1357557
Sound Remains V1.1 with CLAWS , Big Luster, Mood Ring , Mozhgan , DJ Danny Gloverrr 	The Public Works Loft (San Francisco)	Thu: Dec 19 (10pm-2am)	techno, house	$5 b4 10/$10 | 21+		https://www.bigneon.com/tickets/sound-remains-v1-1-san-francisco
Thursday Sessions: Maj Skouti, BLK&WHT, Ricardo Duran (Shibby), IceCreams, Justen Leavy 	Bergerac (San Francisco)	Thu: Dec 19 (10pm-2am)	tech house, deep house	Free w/RSVP | 21+	Housekeeping Entertainment	https://www.eventbrite.com/e/thursday-sessions-121919-tickets-84962658599
Substance w/ Oliver Dollar 	The Endup (San Francisco)	Thu: Dec 19 (10pm-4am)	house	Free w/RSVP / $10 | 21+	Substance Thursdays	https://www.eventbrite.com/e/substance-w-oliver-dollar-tickets-81367712017
Vibe Music Collective - Oakland Pop Up 	Starline Social Club (Oakland)	Thu: Dec 19 (11pm-1:30am)	hip-hop	$10 pre/$15	Oakhella	https://vmcoakland.eventbrite.com/
Eki Shola (live) 	Pax Wine (Sebastopol)	Fri: Dec 20 (5pm-7pm)	downtempo, jazz, live electronica	Free | All ages		https://www.facebook.com/events/2531439830420012/
SF Natives/ Team Wino Holiday Bash & Toy Drive! Tophone, Pause, Charlotte The Baroness 	F8 1192 Folsom (San Francisco)	Fri: Dec 20 (5pm-9pm)	house	Free | 21+	Toph Kerpan Evans	https://www.facebook.com/events/2554294191290341/
Open Decks 	Omg (San Francisco)	Fri: Dec 20 (6pm-9pm)	open decks, multigenre EDM	21+		https://www.facebook.com/events/1488964857925845/
So Stoked For Christmas 2019 Ft. Ducky, Dyloot, Petting Zoo, Vybrant Vibes, Psychic Monkey, Blinkii, Wubzy and friends, Lucy Stoner, Bvssik, Destrukshin, Cold Turkey 	DNA Lounge (San Francisco)	Fri: Dec 20 (7pm-3am)	trance, hardcore, drum and bass, house, dubstep, bass music, trap, EDM	$10-20 pre/$25-30 | All ages	Kandi Love & PLUR Alliance	https://www.dnalounge.com/calendar/2019/12-20.html
Wax w/ Ubi & Lance Skiiiwalker 	The Starlet Room (Sacramento)	Fri: Dec 20 (8pm-12am)	hip-hop	$18 pre/$22 | 21+	Harlow's	https://www.showclix.com/event/wax-the-push-tour
Bunnies & Bass: Spoken Bird, Elevated Mind, Azuki, Bodhi McBoatface, Funkip, roflcactus 	TBA (SOMA, San Francisco)	Fri: Dec 20 (8pm-2am)	house, funky house, nu-disco	$15-20 pre/$25 | 21+	Azuki	https://bundraiser.secretparty.io/
Machine Girl, Dreamcrusher, 8ulentina, Doggiechow, Cel Genesis +More 	Omni Commons (Oakland)	Fri: Dec 20 (8pm-2am)	club music, experimental, techno, hip-hop, future beats	$15 		https://www.facebook.com/events/552380835596490/
Ray Zuniga & Davi A 	Phonobar (San Francisco)	Fri: Dec 20 (8pm-2am)	house, techno, disco	21+		http://www.residentadvisor.net/events/1356313
The Ghost Bag Before Christmas: DJ Yosemite, Katherine Zeta Stone, Mars Silva, Oszo, Ryan Lincoln, Ugly Girls In Miami, Yeti Mercury 	BRIX 581 (Oakland)	Fri: Dec 20 (8:30pm-2:30am)	house, tech house, funky house	21+	Yeti.Mercury	https://www.facebook.com/events/2568224936566835/
A Great Big Christmas Party 	Fulton 55 (Fresno)	Fri: Dec 20 (9pm)	house	$10  | 21+	Lmc	https://www.facebook.com/events/475841696394170/
Milk & Cookies - A House Music Dance Party 	Starline Social Club (Oakland)	Fri: Dec 20 (9pm)	house	Free w/RSVP | 21+	Boomzilla Sound	https://www.facebook.com/events/1352801021546300/
Wax Trippin 	The Legionnaire Saloon (Oakland)	Fri: Dec 20 (9pm)	hip-hop	$5  | 21+	Rondavoux Records/Rdv Promo	https://www.facebook.com/events/849163772133074/
Boombox!! House, Techno, Music For Your Soul! Darby, Hydrolyphics, Kal 	Cafe A Cote (Sacramento)	Fri: Dec 20 (9pm-1:30am)	house, techno	Free	Faf Management	https://www.facebook.com/events/441848050078486/
Friday Night Sessions: Bb Hayes 	Cardiff & Cocktails (Campbell)	Fri: Dec 20 (9pm-1:30am)	house	21+	Cardiff & Cocktails	https://www.facebook.com/events/460697541299082/
Blueprints Presents Barisone, Smoakland, Ian Buell InI, Cannabass, HiGrade, Teluryde 	Flamingo Resort (Santa Rosa)	Fri: Dec 20 (9pm-2am)	tropical bass, bass music, tech house, jackin house	$10 pre/$15 | 21+		https://www.facebook.com/events/433548437530068/
Soul Tech - Holiday Edition 	Inca Azteca Restaurant Bar (San Jose)	Fri: Dec 20 (9pm-2am)	house	Free | 21+	Take Me To Tequila	https://www.facebook.com/events/996786520683547/
They're Here - Lower Tar, Ivana Karpierz, Teeyam, +study, Rodney 	Underground (San Francisco)	Fri: Dec 20 (9pm-2am)	techno, deep house, tech house	$5 pre | 21+		http://www.residentadvisor.net/events/1358657
